1|Toy Story (1995)|1995|4|383
2|GoldenEye (1995)|1995|2|105
3|Four Rooms (1995)|1995|17|75
4|Get Shorty (1995)|1995|2|171
5|Copycat (1995)|1995|7|69
6|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|1995|9|20
7|Twelve Monkeys (1995)|1995|9|307
8|Babe (1995)|1995|5|173
9|Dead Man Walking (1995)|1995|9|246
10|Richard III (1995)|1996|9|73
11|Seven (Se7en) (1995)|1995|7|195
12|Usual Suspects, The (1995)|1995|7|211
13|Mighty Aphrodite (1995)|1995|6|134
14|Postino, Il (1994)|1994|9|140
15|Mr. Holland's Opus (1995)|1996|9|235
16|French Twist (Gazon maudit) (1995)|1995|6|31
17|From Dusk Till Dawn (1996)|1996|2|72
18|White Balloon, The (1995)|1995|9|7
19|Antonia's Line (1995)|1995|9|59
20|Angels and Insects (1995)|1995|9|53
21|Muppet Treasure Island (1996)|1996|2|68
22|Braveheart (1995)|1996|2|230
23|Taxi Driver (1976)|1996|9|157
24|Rumble in the Bronx (1995)|1996|2|136
25|Birdcage, The (1996)|1996|6|231
26|Brothers McMullen, The (1995)|1995|6|57
27|Bad Boys (1995)|1995|2|50
28|Apollo 13 (1995)|1995|2|222
29|Batman Forever (1995)|1995|2|95
30|Belle de jour (1967)|1967|9|30
31|Crimson Tide (1995)|1995|9|124
32|Crumb (1994)|1994|8|57
33|Desperado (1995)|1995|2|74
34|Doom Generation, The (1995)|1995|6|3
35|Free Willy 2: The Adventure Home (1995)|1995|3|9
36|Mad Love (1995)|1995|9|8
37|Nadja (1994)|1994|9|6
38|Net, The (1995)|1995|16|94
39|Strange Days (1995)|1995|2|66
40|To Wong Foo, Thanks for Everything! Julie Newmar (1995)|1995|6|41
41|Billy Madison (1995)|1995|6|29
42|Clerks (1994)|1994|6|119
43|Disclosure (1994)|1994|9|30
44|Dolores Claiborne (1994)|1994|9|57
45|Eat Drink Man Woman (1994)|1994|6|63
46|Exotica (1994)|1994|9|20
47|Ed Wood (1994)|1994|6|104
48|Hoop Dreams (1994)|1994|8|85
49|I.Q. (1994)|1994|6|64
50|Star Wars (1977)|1977|2|484
51|Legends of the Fall (1994)|1994|9|59
52|Madness of King George, The (1994)|1994|9|69
53|Natural Born Killers (1994)|1994|2|105
54|Outbreak (1995)|1995|2|74
55|Professional, The (1994)|1994|7|114
56|Pulp Fiction (1994)|1994|7|312
57|Priest (1994)|1994|9|29
58|Quiz Show (1994)|1994|9|138
59|Three Colors: Red (1994)|1994|9|68
60|Three Colors: Blue (1993)|1993|9|60
61|Three Colors: White (1994)|1994|9|49
62|Stargate (1994)|1994|2|100
63|Santa Clause, The (1994)|1994|5|67
64|Shawshank Redemption, The (1994)|1994|9|223
65|What's Eating Gilbert Grape (1993)|1993|6|93
66|While You Were Sleeping (1995)|1995|6|136
67|Ace Ventura: Pet Detective (1994)|1994|6|78
68|Crow, The (1994)|1994|2|104
69|Forrest Gump (1994)|1994|6|259
70|Four Weddings and a Funeral (1994)|1994|6|198
71|Lion King, The (1994)|1994|4|175
72|Mask, The (1994)|1994|6|108
73|Maverick (1994)|1994|2|99
74|Faster Pussycat! Kill! Kill! (1965)|1965|2|4
75|Brother Minister: The Assassination of Malcolm X (1994)|1994|8|4
76|Carlito's Way (1993)|1993|7|40
77|Firm, The (1993)|1993|9|116
78|Free Willy (1993)|1993|3|26
79|Fugitive, The (1993)|1993|2|267
80|Hot Shots! Part Deux (1993)|1993|2|56
81|Hudsucker Proxy, The (1994)|1994|6|91
82|Jurassic Park (1993)|1993|2|208
83|Much Ado About Nothing (1993)|1993|6|140
84|Robert A. Heinlein's The Puppet Masters (1994)|1994|12|16
85|Ref, The (1994)|1994|6|47
86|Remains of the Day, The (1993)|1993|9|119
87|Searching for Bobby Fischer (1993)|1993|9|107
88|Sleepless in Seattle (1993)|1993|6|174
89|Blade Runner (1982)|1982|11|224
90|So I Married an Axe Murderer (1993)|1993|6|76
